Metric,Overall,LVC,MVC
Accuracy,0.9989684644857059,0.9997052755673446,0.9997052755673446
Precision,0.98559670781893,0.9875,0.9655172413793104
Recall,1.0,1.0,1.0
F1-Score,0.9927461139896373,0.9937106918238994,0.9824561403508771
