Metric,Overall,LVC,MVC
Accuracy,0.9887744474019211,0.9944450873741465,0.9997685453072561
Precision,0.9726027397260274,0.8894472361809045,1.0
Recall,0.8568965517241379,0.8719211822660099,0.96875
F1-Score,0.9110907424381302,0.8805970149253731,0.9841269841269841
